CountryID,Year,Happiness.Rank,Happiness.Score,Family,Health..Life.Expectancy.,Economy..GDP.per.Capita.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual
4,2017,1,7.537000179,1.53352356,0.796666503,1.616463184,0.635422587,0.362012237,0.315963835,2.277026653
3,2017,2,7.521999836,1.551121593,0.792565525,1.482383013,0.626006722,0.355280489,0.400770068,2.313707352
2,2017,3,7.504000187,1.610574007,0.833552122,1.48063302,0.627162635,0.475540221,0.153526559,2.322715282
1,2017,4,7.493999958,1.516911745,0.858131289,1.564979553,0.620070577,0.290549278,0.367007285,2.276716232
6,2017,5,7.468999863,1.540246725,0.80915767,1.443571925,0.617950857,0.245482773,0.382611543,2.430181503
7,2017,6,7.376999855,1.428939223,0.810696125,1.503944635,0.585384488,0.47048983,0.282661825,2.294804096
5,2017,7,7.315999985,1.481348991,0.834557652,1.479204416,0.611100912,0.435539722,0.287371516,2.187264442
9,2017,8,7.31400013,1.548195124,0.816759706,1.405706048,0.61406213,0.500005126,0.382816702,2.046456337
8,2017,9,7.28399992,1.478162169,0.830875158,1.494387269,0.612924099,0.385399252,0.384398729,2.097537994
10,2017,10,7.28399992,1.510041952,0.843886793,1.484414935,0.601607382,0.47769925,0.30118373,2.065210819
11,2017,11,7.212999821,1.376289964,0.838404,1.375382423,0.405988604,0.330082655,0.0852421,2.801757336
12,2017,12,7.078999996,1.416403651,0.759509265,1.109706283,0.58013165,0.214613229,0.100106589,2.898639202
13,2017,13,7.006000042,1.459944963,0.815328419,1.487097263,0.56776619,0.316472322,0.221060365,2.138506413
15,2017,14,6.993000031,1.419920564,0.774286628,1.546259284,0.505740523,0.392578781,0.135638788,2.218113422
18,2017,15,6.977000237,1.558231115,0.809782624,1.535706639,0.573110342,0.427858323,0.298388153,1.773869038
26,2017,16,6.951000214,1.472520351,0.798950732,1.487923384,0.562511384,0.33626917,0.276731938,2.015769958
19,2017,17,6.890999794,1.462312698,0.818091869,1.463780761,0.539770722,0.231503338,0.251343131,2.124210358
17,2017,18,6.862999916,1.457583666,0.845089495,1.741943598,0.596627891,0.283180982,0.318834424,1.619512081
21,2017,19,6.714000225,1.49646008,0.805335939,1.44163394,0.508190036,0.492774159,0.265428066,1.704143524
27,2017,20,6.65199995,1.284024954,0.819479704,1.25278461,0.376895279,0.326662421,0.082287982,2.509585857
20,2017,21,6.647999763,1.266410232,0.726798236,1.626343369,0.60834527,0.360941947,0.324489564,1.734703541
16,2017,22,6.635000229,1.431306005,0.616552353,1.10735321,0.437453747,0.162349895,0.111092761,2.769267082
31,2017,23,6.609000206,1.433885217,0.754444003,1.352682352,0.490946174,0.088106759,0.036872927,2.451861858
30,2017,24,6.598999977,1.440451145,0.695137084,1.185295463,0.494519204,0.109457061,0.059739888,2.614005327
14,2017,25,6.578000069,1.21086216,0.709978998,1.153183818,0.412730008,0.120990433,0.132774115,2.837154865
24,2017,26,6.572000027,1.353814363,0.949492395,1.69227767,0.549840569,0.345965981,0.464307785,1.216362
37,2017,27,6.52699995,1.488411665,0.821944237,1.343279839,0.588767052,0.574730575,0.153066069,1.556862831
32,2017,28,6.453999996,1.412227869,0.719216824,1.217559695,0.579392254,0.175096929,0.178061873,2.172409534
43,2017,29,6.453999996,1.255585194,0.54023999,0.872001946,0.531310618,0.283488393,0.077223279,2.893891096
25,2017,30,6.452000141,1.373192549,0.706156135,1.233748436,0.550026834,0.210556939,0.070983924,2.307199955
29,2017,31,6.441999912,1.387776852,0.844465852,1.430923462,0.470222116,0.129762307,0.172502428,2.005954742
34,2017,32,6.423999786,1.425792456,0.647239029,1.127868772,0.580200732,0.57212311,0.031612735,2.039508343
38,2017,33,6.421999931,1.384565353,0.793984234,1.433626533,0.361466587,0.258360475,0.063829236,2.126607418
36,2017,34,6.402999878,1.532090902,0.8889606,1.384397864,0.40878123,0.190133572,0.070914097,1.92775774
28,2017,35,6.375,1.27429688,0.710098088,1.870765686,0.604130983,0.33047387,0.439299256,1.14546442
33,2017,36,6.356999874,1.402182937,0.595027924,1.070622325,0.477487415,0.149014473,0.046668742,2.616068125
35,2017,37,6.343999863,1.286677599,0.59014833,1.530623555,0.449750572,0.147616014,0.273432255,2.065429688
41,2017,38,6.168000221,1.380228519,0.519983292,1.361355901,0.518630743,0.325296462,0.008964816,2.053247452
39,2017,39,6.105000019,1.259698749,0.632105708,1.632952452,0.496337593,0.228289798,0.21515955,1.640425205
45,2017,40,6.09800005,1.505059242,0.712732911,1.325393558,0.295817465,0.136544481,0.024210852,2.097776651
49,2017,41,6.086999893,1.323110461,0.653133035,1.488412261,0.536746919,0.172668487,0.25704217,1.656149387
61,2017,42,6.084000111,1.284646034,0.618784428,1.29121542,0.402264982,0.41660893,0.065600708,2.004448891
57,2017,43,6.071000099,1.28721571,0.653095961,0.737299204,0.447551847,0.301674217,0.130687982,2.513930559
48,2017,44,6.007999897,1.286168814,0.685636222,1.000820398,0.455198199,0.150112465,0.140134647,2.290352583
42,2017,45,6.002999783,1.182125092,0.596018553,0.909784496,0.43245253,0.078257985,0.08998096,2.714593887
60,2017,46,5.97300005,1.44571197,0.699475348,1.291787863,0.520342112,0.158465967,0.059307806,1.797722816
44,2017,47,5.971000195,1.54896915,0.498272628,0.786441088,0.658248663,0.415983647,0.246528223,1.816913605
50,2017,48,5.964000225,1.444923282,0.853144348,1.395066619,0.256450713,0.172789648,0.028028091,1.813312054
64,2017,49,5.962999821,1.469282389,0.547349334,1.281778097,0.373783112,0.052263822,0.032962881,2.205607414
159,2017,50,5.955999851,1.081417799,0.450191766,0.907975316,0.547509372,0.240015641,0.096581072,2.631955624
46,2017,51,5.920000076,1.436337829,0.913475871,1.416915178,0.505625546,0.120572768,0.163760737,1.363223553
56,2017,52,5.90199995,1.473516107,0.62894994,1.314582348,0.234231785,0.010164657,0.011865643,2.228440523
68,2017,53,5.872000217,1.146217465,0.617584646,1.091864467,0.233335808,0.069436647,0.14609611,2.567603827
89,2017,54,5.849999905,1.404714942,0.638566971,1.260748625,0.325707912,0.153074786,0.073842727,1.993655205
47,2017,55,5.837999821,1.128274441,0.900214076,1.401678443,0.257921666,0.206674367,0.063282669,1.880378008
52,2017,56,5.837999821,1.251825571,0.589465201,0.72887063,0.240729049,0.208779126,0.010091286,2.807808399
86,2017,57,5.824999809,1.15009129,0.685158312,1.217683911,0.457003742,0.133519918,0.004387901,2.176831484
51,2017,58,5.822999954,1.227619052,0.47363025,0.833756566,0.558732927,0.225560725,0.060477726,2.443279028
